Well ID,Datetime,Oil Rate,Gas Rate,Water Rate,Total Liquid Rate,Tubing Pressure,Casing Pressure,Line Pressure,Flowing Temperature,Gas Oil Ratio,Status,Uptime,Downtime Minutes,Allocation Oil Volume,Allocation Gas Volume,Allocation Water Volume
W0012,2025-12-01,0.0,0.0 mcf,0.0,0.0,126.9,118.5,58.1,73.4,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0022,2025-11-18,262.81,1456.243 mmbtu,277.555,540.365,1723.2,927.6,271.9,140.8,5343.4,ACTIVE,99.47,8,262.81,1456.243 mmbtu,277.555
W0020,2026-06-01,589.213,2784.388 mcf,339.022,928.234,2079.5,978.8,352.9,148.5,4725.6,ACTIVE,96.57,49,589.213,2784.388 mcf,339.022
W0009,2026-01-23,22.497 M3,749.188 mcf,422.228,563.733,1835.6,934.1,377.8,161.3,5294.4,ACTIVE,93.95,87,22.497 M3,749.188 mcf,422.228
W0025,2026-07-06,16.782 M3,513.747 mcf,430.007,535.565,1708.4,960.5,368.9,160.9,4867.0,ACTIVE,98.51,22,16.782 M3,513.747 mcf,430.007
W0014,2025-10-15,451.643,2233.354 mcf,196.046,647.689,1908.4,914.9,434.9,161.4,4945.0,active,96.33,53,451.643,2233.354 mcf,196.046
W0021,2025-12-15,265.275,1376.363 mcf,230.63,495.905,1792.4,926.5,367.1,141.9,5188.4,ACTIVE,93.29,97,265.275,1376.363 mcf,230.63
W0033,2025-10-10,188.376,984.77 mcf,369.04,557.417,1556.5,879.7,306.7,152.7,5227.7,ACTIVE,95.27,68,188.376,984.77 mcf,369.04
W0037,2025-12-03,598.082,3244.699 mcf,329.709,927.791,1658.8,904.2,345.5,145.5,5425.2,ACTIVE,98.47,22,598.082,3244.699 mcf,329.709
W0020,2026-01-02,631.664,3075.333 mcf,350.727,982.392,1558.7,979.2,305.2,140.9,4868.6,ACTIVE,99.46,8,631.664,3075.333 mcf,350.727
W0027,2026-04-03,214.604,1192.628 mcf,198.096,412.701,1645.9,739.2,398.7,164.9,5557.3,ACTIVE,94.84,74,214.604,1192.628 mcf,198.096
W0035,2025-12-26,314.712,1699.455 mmbtu,340.789,655.501,1801.0,984.4,348.3,149.9,5207.4,active,96.51,50,314.712,1699.455 mmbtu,340.789
W0028,2026-01-31,576.824,2684.901 mcf,257.463,834.287,1802.4,948.6,349.5,147.3,4654.6,ACTIVE,96.63,49,576.824,2684.901 mcf,257.463
W0005,2026-08-01,255.806,1318.44 mcf,252.187,507.993,1697.1,869.2,372.2,170.5,5154.1,ACTIVE,97.78,32,255.806,1318.44 mcf,252.187
W0011,2026-02-14,0.0 M3,0.0 mcf,0.0,0.0,62.9,43.0,80.7,75.8,0.0,SHUT_IN,0.0,1440,0.0 M3,0.0 mcf,0.0
1,02/12/2026,32.076,147.394 mcf,1017.935,1050.011,1915.7,1076.8,327.7,136.3,4595.2,ACTIVE,95.56,64,32.076,147.394 mcf,1017.935
W0012,2025-11-25,0.0,0.0 mcf,0.0,0.0,123.0,74.8,,96.6,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0011,03/02/2026,0.0 M3,0.0 mcf,0.0,0.0,61.2,93.2,85.8,102.9,0.0,SHUT_IN,0.0,1440,0.0 M3,0.0 mcf,0.0
W0038,2026-06-04,0.0 M3,0.0 mcf,0.0,0.0,104.1,77.5,84.8,96.0,0.0,SHUT_IN,0.0,1440,0.0 M3,0.0 mcf,0.0
W0006,08/04/2026,391.355,2261.018 mcf,183.102,574.457,1606.8,926.2,318.9,147.5,5777.4,ACTIVE,100.0,0,391.355,2261.018 mcf,183.102
5,2026-04-21,293.455,1445.376 mcf,273.571,567.026,1829.9,868.7,332.8,133.0,4925.4,ACTIVE,95.47,65,293.455,1445.376 mcf,273.571
26,2026-04-25,242.135,1501.686 mmbtu,283.807,525.942,1934.1,920.8,359.2,141.6,5980.6,ACTIVE,97.43,37,242.135,1501.686 mmbtu,283.807
W0022,2026-05-19,213.571,1459.581 mmbtu,254.336,467.907,1753.5,947.8,465.8,154.0,6590.3,ACTIVE,93.91,88,213.571,1459.581 mmbtu,254.336
W0009,05/18/2026,17.197 M3,613.31 mcf,399.171,507.339,1765.3,910.1,325.5,136.2,5670.0,ACTIVE,98.35,24,17.197 M3,613.31 mcf,399.171
W0037,2026-01-13,618.686,2853.166 mcf,344.424,963.109,1831.7,882.6,387.3,167.6,4611.7,ACTIVE,94.21,83,618.686,2853.166 mcf,344.424
W0028,2025-11-16,527.805,3489.994 mcf,231.013,758.818,1728.3,906.3,380.2,158.9,6612.3,ACTIVE,99.11,13,527.805,3489.994 mcf,231.013
W0030,2025-10-01,338.049,1608.66 mmbtu,345.92,683.969,1611.8,969.7,393.4,150.2,4588.9,ACTIVE,96.97,44,338.049,1608.66 mmbtu,345.92
W0010,2026-07-31,552.918,2527.011 mcf,322.674,875.592,1676.4,846.5,337.8,140.7,4570.3,ACTIVE,95.37,67,552.918,2527.011 mcf,322.674
W0031,2026-05-31,0.0,0.0 mcf,0.0,0.0,69.1,112.8,86.4,103.1,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0039,2026-05-26,477.906,2181.988 mcf,219.669,697.575,1889.3,890.6,311.3,157.8,4565.7,ACTIVE,92.63,106,477.906,2181.988 mcf,219.669
W0025,2026-04-15,15.916 M3,572.022 mcf,346.69,446.797,1925.1,802.7,414.3,148.7,5714.1,ACTIVE,94.24,83,15.916 M3,572.022 mcf,346.69
W0022,2025-09-07,263.402,1326.567 mmbtu,265.314,528.716,1881.2,865.0,417.3,133.0,4856.6,ACTIVE,93.38,95,263.402,1326.567 mmbtu,265.314
W0036,2026-05-04,0.0,0.0 mcf,0.0,0.0,114.1,42.1,94.9,83.4,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
6,2026-08-20,378.123,2006.054 mcf,177.627,555.75,1721.9,839.3,340.8,151.7,5305.3,ACTIVE,95.2,69,378.123,2006.054 mcf,177.627
W0030,05-10-2025,313.403,1734.661 mmbtu,321.544,634.946,1643.0,783.8,393.8,156.2,5337.4,Producing,99.47,8,313.403,1734.661 mmbtu,321.544
W0015,2026-06-18,57.152,239.007 mcf,1847.927,1905.079,1935.6,926.8,395.4,154.0,4181.9,ACTIVE,93.5,94,57.152,239.007 mcf,1847.927
W0031,2026-08-11,0.0,0.0 mcf,0.0,0.0,112.3,69.2,,95.9,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
2,2025-09-10,0.0,0.0 mcf,0.0,0.0,68.8,36.9,75.7,85.3,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0037,2026-07-06,593.008,2680.986 mcf,344.037,937.045,1790.6,846.3,289.3,138.2,4521.0,ACTIVE,96.49,51,593.008,2680.986 mcf,344.037
W0003,2026-07-16,140.569,756.961 mcf,396.966,537.535,1847.9,1099.4,339.0,146.8,5385.0,ACTIVE,96.75,47,140.569,756.961 mcf,396.966
W0015,2026-04-07,52.753,290.821 mcf,851.238,903.991,1931.2,898.1,385.3,144.1,5512.8,ACTIVE,98.3,25,52.753,290.821 mcf,851.238
W0005,2026-08-09,287.504,1388.745 mcf,284.682,572.186,1713.9,963.7,376.2,152.9,4830.4,ACTIVE,98.9,16,287.504,1388.745 mcf,284.682
W0025,2025-08-30,23.589 M3,722.817 mcf,347.823,496.191,1735.3,860.0,302.5,150.7,4871.8,ACTIVE,94.68,77,23.589 M3,722.817 mcf,347.823
W0030,2026-03-11,270.21,1519.454 mmbtu,307.433,577.643,1818.9,918.4,385.5,157.3,5422.6,active,96.07,57,270.21,1519.454 mmbtu,307.433
W0023,05/02/2026,266.891,1322.765 mcf,250.312,517.203,1586.2,832.3,307.9,150.9,4956.2,ACTIVE,94.31,82,266.891,1322.765 mcf,250.312
W0014,2026-05-28,359.153,2091.893 mcf,165.168,524.321,1747.5,819.9,314.0,156.2,5824.5,Producing,95.72,62,359.153,2091.893 mcf,165.168
W0014,2026-04-30,366.533,2101.483 mcf,167.367,533.9,1996.8,854.4,410.8,144.0,5733.4,ACTIVE,94.25,83,366.533,2101.483 mcf,167.367
W0017,2026-06-16,419.713,2166.172 mcf,242.352,662.065,1805.8,999.2,401.8,150.1,5161.1,ACTIVE,96.3,53,419.713,2166.172 mcf,242.352
W0036,2026-04-24,0.0,0.0 mcf,0.0,0.0,121.1,59.5,92.1,91.1,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0015,2026-02-07,57.804,258.513 mcf,641.982,699.787,1562.3,815.6,326.5,151.5,4472.2,Producing,95.31,67,57.804,258.513 mcf,641.982
W0034,2026-03-03,244.342,1323.112 mmbtu,276.536,520.878,1765.0,825.3,275.4,149.9,5221.8,Active ,95.69,62,244.342,1323.112 mmbtu,276.536
4,2026-07-31,0.0,0.0 mcf,0.0,0.0,78.5,75.5,62.5,102.2,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0039,2025-11-19,533.28,2542.75 mcf,233.591,766.871,1843.0,839.8,325.2,,4768.1,ACTIVE,95.37,67,533.28,2542.75 mcf,233.591
25,2026-05-27,14.578 M3,514.015 mcf,344.424,436.116,1807.3,983.2,349.9,168.4,5605.9,active,97.06,42,14.578 M3,514.015 mcf,344.424
5,2025-09-29,288.879,1592.559 mcf,240.708,529.587,1955.9,953.4,321.4,161.8,5512.9,ACTIVE,97.0,43,288.879,1592.559 mcf,240.708
W0021,2026-01-18,277.499,1521.571 mcf,245.813,523.312,1767.8,966.9,298.7,151.9,5483.2,ACTIVE,99.38,9,277.499,1521.571 mcf,245.813
W0040,08/10/2026,176.379,899.196 mcf,516.233,692.612,1891.9,853.0,396.5,141.2,5098.1,ACTIVE,94.39,81,176.379,899.196 mcf,516.233
W0036,10-06-2026,0.0,0.0 mcf,0.0,0.0,146.8,95.0,26.1,105.1,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0034,2026-07-11,223.124,1317.819 mmbtu,275.225,498.349,1860.3,809.8,434.2,149.0,5695.5,ACTIVE,92.85,103,223.124,1317.819 mmbtu,275.225
W0007,2025-11-12,496.266,2435.015 mcf,216.984,713.25,1852.6,899.9,343.9,154.8,4906.7,ACTIVE,99.65,5,496.266,2435.015 mcf,216.984
W0028,2026-04-03,513.644,2628.527 mcf,232.932,746.576,1743.0,835.5,408.6,149.5,5117.4,ACTIVE,95.55,64,513.644,2628.527 mcf,232.932
W0010,2026-06-09,606.43,2522.028 mcf,349.588,956.018,1858.4,807.1,302.0,151.2,4158.8,ACTIVE,92.59,107,606.43,2522.028 mcf,349.588
W0015,2025-12-20,67.815,333.699 mcf,592.253,660.069,1893.0,757.7,350.1,153.1,4920.7,Active ,97.5,36,67.815,333.699 mcf,592.253
W0007,2026-07-25,446.189,1991.819 mcf,208.231,654.421,2022.9,895.2,309.6,148.6,4464.1,ACTIVE,98.99,15,446.189,1991.819 mcf,208.231
W0039,21-01-2026,515.346,2695.076 mcf,229.433,744.779,1875.5,777.8,355.5,152.1,5229.6,ACTIVE,94.2,84,515.346,2695.076 mcf,229.433
W0012,2026-03-20,0.0,0.0 mcf,0.0,0.0,110.3,103.9,70.4,101.4,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0018,25-06-2026,153.722,893.106 mcf,421.455,575.177,,860.7,430.8,137.1,5809.9,ACTIVE,94.65,77,153.722,893.106 mcf,421.455
W0017,2026-05-09,476.038,2078.525 mcf,272.417,748.455,1964.7,881.2,362.6,157.3,4366.3,ACTIVE,97.17,41,476.038,2078.525 mcf,272.417
W0030,26-02-2026,270.712,1663.158 mmbtu,305.371,576.083,1700.4,775.9,352.5,158.4,5924.4,ACTIVE,100.0,0,270.712,1663.158 mmbtu,305.371
2,2025-12-08,0.0,0.0 mcf,0.0,0.0,51.0,94.4,76.5,94.9,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0029,28-02-2026,0.0,0.0 mcf,0.0,0.0,124.9,99.9,25.1,104.3,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0011,2026-04-20,0.0 M3,0.0 mcf,0.0,0.0,82.6,36.5,76.3,85.4,0.0,SHUT_IN,0.0,1440,0.0 M3,0.0 mcf,0.0
W0025,2025-12-28,19.982 M3,653.921 mcf,358.527,484.21,1922.0,793.8,300.6,140.3,5203.0,ACTIVE,94.44,80,19.982 M3,653.921 mcf,358.527
W0034,2026-02-02,246.629,1600.2 mmbtu,273.836,520.464,1513.5,857.7,394.2,133.7,6256.8,ACTIVE,98.48,22,246.629,1600.2 mmbtu,273.836
W0020,2026-07-07,498.381,3027.063 mcf,289.206,787.587,1896.5,1046.4,381.8,138.2,6073.8,ACTIVE,97.26,39,498.381,3027.063 mcf,289.206
w0028,13-01-2026,496.697,2838.551 mcf,220.676,717.373,1862.1,1008.4,280.8,129.6,5714.8,ACTIVE,92.24,112,496.697,2838.551 mcf,220.676
9,06-11-2025,23.696 M3,720.676 mcf,389.691,538.736,1918.0,901.0,358.4,160.5,4835.3,ACTIVE,91.6,121,23.696 M3,720.676 mcf,389.691
W0035,2026-08-10,256.034,1641.598 mmbtu,322.189,578.223,1950.6,957.7,373.6,152.2,6182.9,ACTIVE,95.01,72,256.034,1641.598 mmbtu,322.189
W0031,2025-09-20,0.0,0.0 mcf,0.0,0.0,51.0,36.2,68.8,102.6,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0034,2025-12-01,248.557,1409.875 mmbtu,264.758,513.315,1639.7,882.1,380.2,136.8,5469.9,ACTIVE,100.0,0,248.557,1409.875 mmbtu,264.758
W0030,2026-03-31,255.638,1365.26 mmbtu,294.721,550.358,1727.8,870.2,281.2,153.5,5150.1,ACTIVE,94.0,86,255.638,1365.26 mmbtu,294.721
W0021,07/28/2026,231.015,1300.322 mcf,227.248,458.263,1991.0,787.9,372.5,147.2,5628.7,ACTIVE,94.64,77,231.015,1300.322 mcf,227.248
W0027,2026-04-28,237.149,1206.263 mcf,221.93,459.08,1791.5,711.2,339.7,134.9,5086.5,ACTIVE,98.88,16,237.149,1206.263 mcf,221.93
W0016,07/27/2026,14.419 M3,488.243 mcf,386.146,476.836,1950.1,883.3,329.5,155.4,5383.6,ACTIVE,93.11,99,14.419 M3,488.243 mcf,386.146
W0014,2025-09-02,490.852,2048.827 mcf,210.695,701.547,1646.7,859.3,358.2,152.6,4174.0,ACTIVE,97.43,37,490.852,2048.827 mcf,210.695
W0030,08/14/2026,243.501,1406.258 mmbtu,307.235,550.736,1732.9,986.5,331.2,131.0,5569.1,active,95.28,68,243.501,1406.258 mmbtu,307.235
W0010,2026-03-22,643.188,2778.88 mcf,363.906,1007.094,1842.6,787.0,322.2,173.4,4320.5,ACTIVE,99.17,12,643.188,2778.88 mcf,363.906
W0016,08/13/2026,17.01 M3,503.389 mcf,472.571,579.56,1789.0,970.9,369.0,148.5,4705.1,ACTIVE,91.19,127,17.01 M3,503.389 mcf,472.571
W0005,07-04-2026,287.138,1497.277 mcf,265.633,552.77,1763.8,781.2,401.1,149.4,5214.5,ACTIVE,90.52,136,287.138,1497.277 mcf,265.633
W0033,08-12-2025,172.072,891.854 mcf,362.677,534.748,1631.7,1132.9,312.6,153.7,5183.0,ACTIVE,94.69,76,172.072,891.854 mcf,362.677
W0005,2025-10-22,362.941,1497.525 mcf,306.286,669.227,1757.5,852.6,363.1,144.2,4126.1,ACTIVE,100.0,0,362.941,1497.525 mcf,306.286
W0011,12/31/2025,0.0 M3,0.0 mcf,0.0,0.0,78.7,103.3,20.3,83.3,0.0,SHUT_IN,0.0,1440,0.0 M3,0.0 mcf,0.0
W0020,26-06-2026,529.534,2818.893 mcf,306.488,836.022,1745.4,970.7,353.4,139.2,5323.3,ACTIVE,94.97,72,529.534,2818.893 mcf,306.488
W0036,2025-09-24,0.0,0.0 mcf,0.0,0.0,91.3,78.6,27.0,92.7,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
4,2025-12-23,0.0,0.0 mcf,0.0,0.0,122.1,98.9,27.3,90.6,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0016,11/24/2025,21.706 M3,657.709 mcf,367.742,504.267,1737.0,955.9,381.3,138.6,4817.5,ACTIVE,93.79,89,21.706 M3,657.709 mcf,367.742
1,2026-06-09,24.867,128.227 mcf,804.022,828.888,1798.9,873.8,356.2,158.3,5156.6,ACTIVE,96.0,58,24.867,128.227 mcf,804.022
W0035,2026-08-18,285.321,1474.299 mmbtu,360.962,646.283,1867.1,801.0,340.7,155.7,4982.8,ACTIVE,97.84,31,285.321,1474.299 mmbtu,360.962
W0016,2026-02-10,18.573 M3,535.631 mcf,359.813,476.634,1861.3,753.5,388.1,135.6,4585.1,ACTIVE,94.47,80,18.573 M3,535.631 mcf,359.813
W0021,2026-08-11,228.798,1398.619 mcf,226.801,455.6,1622.3,759.5,293.0,145.1,6112.9,ACTIVE,99.18,12,228.798,1398.619 mcf,226.801
w0020,2025-12-16,626.393,3219.959 mcf,346.391,972.784,1767.7,937.6,384.2,136.5,5140.5,ACTIVE,99.68,5,626.393,3219.959 mcf,346.391
W0014,2026-08-11,392.107,1726.733 mcf,183.778,575.885,1584.1,904.0,349.8,154.0,4403.7,active,96.09,56,392.107,1726.733 mcf,183.778
W0027,2026-03-01,244.254,1163.328 mcf,221.417,465.672,1739.2,834.4,302.7,158.3,4762.8,ACTIVE,97.04,43,244.254,1163.328 mcf,221.417
W0035,2025-12-20,308.741,1695.989 mmbtu,333.004,641.745,1787.4,1052.4,373.4,147.7,5297.2,ACTIVE,96.2,55,308.741,1695.989 mmbtu,333.004
W0035,2026-07-01,303.055,1702.468 mmbtu,371.345,674.4,1876.1,809.0,286.0,156.5,5417.2,ACTIVE,100.0,0,303.055,1702.468 mmbtu,371.345
w0012,08-01-2026,0.0,0.0 mcf,0.0,0.0,60.1,110.5,31.9,96.5,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0019,02/23/2026,551.736,2885.485 mcf,310.167,861.903,1596.8,1005.4,280.9,142.3,5229.8,active,100.0,0,551.736,2885.485 mcf,310.167
W0032,2026-04-07,0.0,0.0 mcf,0.0,0.0,144.3,54.9,86.6,90.6,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0036,2025-10-27,0.0,0.0 mcf,0.0,0.0,146.8,66.8,88.9,99.9,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0039,2026-02-21,504.878,2875.392 mcf,226.568,731.446,1957.4,894.9,372.7,155.0,5695.2,ACTIVE,95.01,72,504.878,2875.392 mcf,226.568
W0017,2026-06-30,441.692,2213.387 mcf,255.887,697.579,1985.2,860.7,373.9,142.5,5011.2,ACTIVE,95.47,65,441.692,2213.387 mcf,255.887
W0026,2026-05-05,247.696,1436.962 mmbtu,292.253,539.949,1635.8,881.7,297.9,131.7,5594.3,ACTIVE,94.08,85,247.696,1436.962 mmbtu,292.253
W0014,2026-01-10,410.661,2106.594 mcf,182.31,592.971,1892.7,781.6,349.8,158.7,5129.8,ACTIVE,97.07,42,410.661,2106.594 mcf,182.31
W0016,2026-07-10,15.416 M3,478.773 mcf,398.311,495.277,1801.4,833.9,268.5,154.6,4937.5,ACTIVE,93.75,90,15.416 M3,478.773 mcf,398.311
W0007,02/01/2026,471.964,2499.616 mcf,210.714,682.678,1852.1,845.2,290.4,140.7,5296.2,ACTIVE,93.11,99,471.964,2499.616 mcf,210.714
W0019,2026-05-02,635.829,3203.726 mcf,363.257,999.086,1679.9,868.7,349.4,158.9,5038.7,ACTIVE,95.73,61,635.829,3203.726 mcf,363.257
W0014,06/03/2026,414.693,1781.207 mcf,191.001,605.694,1912.8,720.8,380.6,135.8,4295.2,ACTIVE,98.18,26,414.693,1781.207 mcf,191.001
w0009,10/03/2025,22.881 M3,860.951 mcf,356.076,499.992,1653.9,955.6,364.6,140.0,5982.3,ACTIVE,94.09,85,22.881 M3,860.951 mcf,356.076
1,2025-12-04,39.08,175.836 mcf,619.781,658.861,1999.9,981.1,276.4,137.2,4499.3,ACTIVE,98.95,15,39.08,175.836 mcf,619.781
4,07/16/2026,0.0,0.0 mcf,0.0,0.0,124.8,42.5,40.2,99.3,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0023,2026-07-18,291.268,1414.587 mcf,284.953,576.221,1600.1,993.6,354.7,134.0,4856.7,ACTIVE,95.45,66,291.268,1414.587 mcf,284.953
W0039,2026-04-04,475.328,2126.407 mcf,215.611,690.939,1812.2,754.6,358.4,143.2,4473.6,ACTIVE,95.23,69,475.328,2126.407 mcf,215.611
W0030,02/11/2026,271.945,1581.994 mmbtu,303.741,575.686,1910.4,865.7,374.1,150.0,5609.8,ACTIVE,95.79,61,271.945,1581.994 mmbtu,303.741
2,16-12-2025,0.0,0.0 mcf,0.0,0.0,125.7,35.0,20.6,78.5,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0028,2025-12-20,494.841,2437.729 mcf,218.496,713.337,1763.5,934.5,349.7,156.0,4926.3,Active ,98.1,27,494.841,2437.729 mcf,218.496
W0033,2026-03-14,158.344,771.991 mcf,377.543,535.887,1918.0,841.5,271.4,155.6,4875.4,ACTIVE,93.44,94,158.344,771.991 mcf,377.543
W0003,30-10-2025,174.805,939.561 mcf,350.979,525.784,1697.2,809.9,339.7,144.6,5374.9,ACTIVE,87.44,181,174.805,939.561 mcf,350.979
W0017,2026-05-22,431.752,2328.078 mcf,247.835,679.587,1840.5,921.2,272.6,139.1,5392.2,active,92.13,113,431.752,2328.078 mcf,247.835
W0019,2025-12-04,613.351,2882.154 mcf,338.207,951.559,1932.9,796.9,405.9,162.2,4699.0,ACTIVE,96.11,56,613.351,2882.154 mcf,338.207
W0018,2026-07-20,167.419,795.765 mcf,475.483,642.902,1743.0,898.9,303.6,146.6,4753.1,ACTIVE,99.85,2,167.419,795.765 mcf,475.483
W0036,2026-07-24,0.0,0.0 mcf,0.0,0.0,103.8,49.5,69.1,70.5,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
6,2025-10-30,466.076,2427.291 mcf,203.099,669.175,1770.9,977.0,310.6,142.3,5207.9,ACTIVE,96.22,55,466.076,2427.291 mcf,203.099
W0016,2026-03-02,19.05 M3,583.707 mcf,382.521,502.339,1948.9,790.6,301.0,163.5,4871.6,ACTIVE,98.35,24,19.05 M3,583.707 mcf,382.521
W0019,2025-11-15,698.548,3288.407 mcf,383.438,1081.986,2011.2,872.3,344.2,146.5,4707.5,ACTIVE,95.63,63,698.548,3288.407 mcf,383.438
W0011,2026-05-02,0.0 M3,0.0 mcf,0.0,0.0,132.7,67.6,34.1,84.0,0.0,SHUT_IN,0.0,1440,0.0 M3,0.0 mcf,0.0
W0029,2025-12-10,0.0,0.0 mcf,0.0,0.0,107.6,81.4,62.2,88.2,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0022,2026-06-23,229.369,1354.255 mmbtu,279.566,508.935,1697.3,875.1,368.7,152.0,5693.6,ACTIVE,99.08,13,229.369,1354.255 mmbtu,279.566
W0007,2026-05-08,471.66,2075.981 mcf,215.809,687.469,1707.7,1029.4,429.7,157.5,4401.4,active,93.82,89,471.66,2075.981 mcf,215.809
W0032,2025-10-16,0.0,0.0 mcf,0.0,0.0,148.3,68.0,86.8,71.4,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0006,2026-06-22,433.469,2025.625 mcf,200.613,634.082,1837.6,816.6,364.8,146.2,4673.1,ACTIVE,100.0,0,433.469,2025.625 mcf,200.613
